row	training	assigned_sex	height	weight	max_hr	age	VO2_Max
32	high	male	67.7334958357734	176.02201566201288	194.47315548041146	29.13736076411415	51.388870676161964
33	low	male	71.12219753608464	192.14555437641317	195.17174205483843	36.70028460339251	40.23346258249242
34	none	male	62.96189239726995	128.40553288219266	190.42875483002024	27.969887542457254	38.34981406651698
35	intense	male	68.1310790960641	184.7466915609749	189.50881386397418	30.676731250448075	56.056281830410825
36	high	male	68.82718632250351	180.8268573753247	193.14329849498037	28.163788534769637	51.04253079767342
37	low	female	69.90619510861893	199.7318773891908	190.77388173677093	51.99540151348616	19.293783836822453
38	intense	female	68.14658624156968	141.34179702192668	187.4000785485046	31.014386368892637	57.129705197997154
39	low	male	66.43768105405644	159.97816968888372	190.1951213040498	19.09433826047484	41.17580807957312
40	moderate	male	67.99851488552821	183.5888397232761	197.90862722665668	42.87418084833598	38.423576866088084
41	low	male	65.62280692973263	150.2156032972826	183.0537906409189	43.21791434158229	39.6607404776498
42	low	male	67.18561215209822	212.10646831243355	188.79275967579213	33.467516466926874	33.04894263633439
43	intense	female	58.971921226490394	152.05947798504317	196.34742577168373	33.227841374883454	54.17138920573482
44	low	male	64.20475366928498	217.68616718860966	194.24626829905725	26.737516078651602	31.295618515083206
45	low	male	59.80938269802654	220.71444511354287	195.4239491292565	40.52364949419361	31.09100273014375
46	low	female	63.38777390257869	172.54438496346734	190.58893489434246	42.71179619741946	31.510305675783858
47	intense	female	69.02806608406833	191.0564641864236	198.55983862188722	23.25086548500454	53.0755008188619
48	high	male	73.42358027266846	195.08832094011757	194.99968695788758	28.036665002034468	49.72669884962605
49	moderate	female	64.64591455573344	208.2010841971076	180.2769677642418	28.948238035467536	34.21730685442167
50	none	male	61.12272114965851	170.96161180088083	183.35923870826292	30.06313379513436	26.448860718000503
51	none	male	81.56720034227924	184.51020483238165	183.9242626190498	25.7750862885715	40.61045509603238
52	low	male	65.03682771881503	199.72868870421652	192.3902846185271	29.08867351695149	36.95605582478868
53	moderate	male	64.61725973157301	149.1536157328629	185.31298567055882	30.9752062841952	48.22605139064801
54	moderate	male	72.80498578897547	173.9866208526937	195.30059656579687	39.55998884630551	48.90686782568417
55	low	female	66.33417950966243	242.24190135714332	185.13065061570407	38.25115736580575	20.581083290462402
56	low	female	74.77510678960635	183.19564808244243	189.60155378856686	36.14265789829715	35.15856255503704
57	moderate	female	65.97976709098808	128.02369090751012	192.38669127750293	37.28980304490457	37.528488786328495
58	moderate	male	68.83206319537625	213.9340809916645	188.53067766631418	40.06784170479746	39.93450848754124
59	low	male	72.41551983837235	213.23485237190383	181.92587121179443	33.88732305862613	35.124719399408974
60	high	male	65.4734112590945	212.7716102668031	195.3173281191573	37.16646486923057	59.545452868934454
61	low	male	65.0783772677573	155.03800655542696	194.2677365233798	36.277650184938096	43.57588306668477
62	moderate	female	67.13091324196138	143.83502332428043	194.27845781437782	28.9559080877965	35.37757210965464
63	intense	female	69.77731444599061	196.76698852483875	189.78743785082204	32.61266123657422	52.560392785749016
64	moderate	female	68.92113339567594	205.26184718492306	193.34002294478847	42.09273808469331	38.151193432063636
65	high	female	73.07088731465737	163.67106582634068	188.58794420899113	31.263009161578143	52.39691611551519
66	low	male	70.31744473611575	134.89568026327413	191.6455669228591	30.21866406885639	34.92472613767561
67	high	male	69.78800146317303	129.0011989189188	194.5278510844806	40.58086981446003	39.276078796148006
68	high	male	73.22923281076935	157.76075971479705	188.5476306160956	46.11873550365886	49.38009711167199
69	low	male	65.85530780446844	190.90962791299387	186.46866142780522	41.15682967641444	40.61110831369534
70	low	male	61.95319601293326	111.1747747738768	195.61756297618862	30.48097039525949	45.996334786184
71	moderate	male	62.99445157974319	67.16824279709913	191.0765265753425	33.88253084578499	49.25296902073097
72	moderate	male	66.31007832428736	149.99875806279036	201.21297865197897	28.287754861564853	46.775697905525334
73	high	male	69.39787068396681	176.49563805189473	185.7975778135805	28.805266714993937	49.809958555619254
74	low	male	71.1307240107997	150.62018060836837	193.73891483987316	31.033052437115717	42.79962536326457
75	moderate	female	66.23337996957379	117.08048404604921	197.00122858156607	22.528685766766003	46.37354763659412
76	high	male	56.12951096797007	119.77399453520766	194.5080053809493	36.56980563023504	62.366539357919244
77	moderate	female	68.52462051727632	238.9094049192717	191.41452885515702	20.737266759334553	38.7014676524164
78	moderate	male	78.5404822482365	185.42456524699645	193.19875889804095	40.466888765886296	42.883888728185276
79	low	male	74.30676408737402	209.79814083146843	196.40929415102664	30.514836034223755	27.571027279029725
80	low	male	66.72514689928634	133.69586528226682	183.15382139451003	31.79904083850385	34.90694442371599
81	none	male	70.05591060678734	50.266001866187864	186.18997207667672	27.553134022835728	39.98544837972321
82	low	female	66.57932394872151	205.1929224476492	207.65870708635205	59.1830822228047	26.51064270977707
83	none	male	71.53162697318419	173.8251842936216	189.46312486331507	31.747480769965748	28.521312654595
84	low	female	69.83397018831597	166.01441649029775	194.8446145204404	24.534317461852716	36.17623689000427
85	none	male	59.75778700870262	199.59447430785139	193.12632549850613	27.885814133237318	27.61719691835894
86	moderate	female	73.57761243318713	160.84468008173283	191.93345382891195	40.23270810768085	33.95791359893805
87	intense	male	66.05285804972293	132.2815155779052	190.99634493965337	28.61718788758583	54.42559905984015
88	moderate	female	67.27973553654677	106.34082140480979	199.42181069333384	50.43551719772637	38.75692199906971
89	high	male	67.8357106973852	183.7274263607614	191.95767974120815	31.380859811150593	51.92910602790565
90	none	male	64.10391119308083	128.12263081193825	190.5712483223709	39.96543345646337	36.55682098524751
91	moderate	male	66.11638375562734	122.08465780981228	188.42610932193836	36.1057385905712	50.35802701269081
92	intense	male	66.71853367812714	117.67475344899862	190.99666381576196	29.33290860551484	64.19882224422139
93	moderate	male	79.03500289599576	143.50923425749326	200.48207966317133	22.42796216797995	43.80173139183483
94	high	male	69.2762258723264	138.4138310896671	196.71255214919054	31.481406152456447	54.729398696968516
95	low	male	64.99285808950997	190.1742783185642	195.38342680551892	31.35643434908232	38.30627861315302
96	low	female	67.34596524561907	156.1344099929476	186.76344500983566	32.584499914827695	33.91950824828051
97	intense	female	66.94639699385095	190.50260609740866	187.50660055784337	30.64005690957707	43.85553619454713
98	moderate	male	57.06345975046532	186.1404543953688	188.26522542552587	32.14508797484505	35.5470549412342
99	high	male	70.81068961485427	173.46510379848263	187.34260885652373	31.53069190693835	56.39479678506653
100	low	female	71.36641325705394	184.63819607325928	183.86731356255092	28.966260715312583	36.653901065345735
101	moderate	male	67.8767382210941	195.00303769537874	186.27952924851263	45.75901284109001	35.4796030728792
102	moderate	male	57.06254031544864	150.36779016982507	187.4791209881987	34.535451166876825	40.909132395606115
103	high	male	70.51995080547056	224.41232649605234	180.65069214534412	42.97540610166607	36.73465836892976
104	low	male	82.43899111032651	186.7607165036239	193.20230846069154	25.8318462499597	29.70807166656151
105	high	male	67.32151498961476	164.05456805325443	185.90212345886874	32.971357504998544	60.44891125808279
106	low	female	72.05662310002178	193.6941421072812	189.24500352944963	28.28294934794713	38.32049671482888
107	intense	male	69.85551842075974	160.75715764032543	198.48074971829297	41.513194998660516	60.13467641159631
108	none	male	67.1511433466504	174.04154171352542	198.9372233211452	27.146607711774678	31.041832227562416
109	low	female	72.61474656579553	193.19332742441418	197.75962532850411	35.7581152446676	36.684286310276676
110	none	female	61.127960411165446	173.8804212762137	186.84295138342452	20.514526933608806	17.975092605559084
111	moderate	female	66.51745814642771	167.9061874726231	195.1150061191985	34.74282879255591	38.59769833995095
112	moderate	female	59.81092635288209	213.94352110585683	191.22734504416061	40.31680380396906	27.11226166570195
113	high	male	67.25877691324486	210.78489597246678	185.46943487820332	29.067987515995465	54.71624368755279
114	intense	female	61.50605283116427	109.62327577665343	191.0100788317767	38.020396750508716	50.78434648382405
115	moderate	male	62.393027244417596	156.7990094555029	202.13270209965196	41.52626325912124	37.271468880772
116	moderate	male	67.0722579193863	167.23774164333315	185.5287439444735	35.76561458126103	35.88256571827235
117	high	female	70.69824080390079	210.56940931436566	183.655333653668	27.31206707050722	35.030989471276165
118	low	female	72.28881869140814	184.99681737870787	189.57527435582543	30.472266927088214	30.656904338979558
119	moderate	female	61.26224838773548	147.18094722448194	193.45204003904274	24.744926022851132	46.91538872959033
120	none	female	64.419413890496	150.36052530103126	195.6710601518995	11.94877939314124	33.10217669223004
121	intense	male	75.60395781513856	208.12212509426317	194.7261487218344	32.3305542198718	52.38478409262752
122	low	female	65.97032289888809	133.0380908878359	186.04887541549613	41.015900022464386	25.879768047427834
123	intense	male	70.10442282443216	145.4445786460474	191.2124959718331	34.8840122749223	62.048181365189315
124	intense	male	64.44771800806676	90.98459496626221	193.7116157799266	34.586284028988054	50.73370685970955
125	none	male	63.277392675362684	147.45711134006203	194.2183376049313	31.70071216136209	35.63909347100691
126	none	male	73.33880745846713	121.87725363150116	192.88607221821152	35.91017211528656	35.926403384624955
127	none	male	64.67169941806853	185.24466779496063	196.5116628382064	27.08527225067322	41.036025920405876
128	intense	male	63.998725600576904	178.14422730410948	191.73388336935463	32.77864261872709	51.65966152069927
129	high	female	70.75921523725722	216.57320815035598	190.51554595064357	34.06310841324236	40.72393501680632
130	low	female	68.82681346661244	153.22198172688672	184.3705681817915	33.055704631961895	35.119143241334406
131	moderate	female	63.5388681728925	177.54738181954875	185.40387280214557	29.942637776424963	42.29922860684028
132	high	female	66.15032936857564	120.34721817729479	193.79067053423267	32.725224618638116	38.46444550175457
133	high	female	58.81557360748283	174.74715131502293	189.60264472879751	44.108415047245536	39.48592436537194
134	high	female	68.18752999829339	110.07429185555907	188.0717940293379	31.365415409919585	51.35940774577197
135	low	female	62.34615950130474	175.9782588754774	196.45710292642818	29.3641857773156	39.840525630918094
136	none	male	71.29995308505491	227.69712370924626	190.99464243304797	31.637319554769064	27.183046701403367
137	moderate	male	69.96153099999341	130.8002170214597	193.1935636448709	33.18742850483534	46.91468767072006
138	high	female	70.16557998225659	158.1134282214245	192.86805713891172	31.361812410320677	40.6060949390734
139	moderate	female	72.27374625041938	179.89643335232302	195.28456157544449	34.796567451793855	39.557972846346274
140	none	female	72.28785126154588	121.32066687269506	188.1343922559747	32.71185082410021	28.109742811156114
141	low	male	71.4310677429436	158.9617686215671	185.03055904485157	28.450681103280594	41.9230859656543
142	intense	male	67.97070476050779	180.51971551498835	191.846458643994	30.507603891147824	57.8047558877649
143	moderate	male	64.35068107752019	198.08610150455954	192.85968615845073	34.373119024609586	41.78980300528702
144	low	female	69.86870611027092	212.41850401218556	194.98732144343694	41.536029763763125	31.0922575072178
145	low	male	65.21818240399222	181.96959243046402	192.3822341013884	37.47228455999954	39.242064274098325
146	low	male	75.24781564095292	168.27929800806362	193.80873697076134	34.974310447558246	32.14167296111056
147	moderate	female	61.90118896944834	119.09062897433486	192.82086955452945	31.371294002751878	33.45831213543123
148	moderate	female	62.81703063732131	138.52761813872448	192.78978900407287	41.907456144578845	29.465030481427757
149	moderate	female	67.59617307578057	127.2194275587291	193.3754084033262	33.222320646015504	38.1617153450949
150	moderate	male	64.42981315526005	164.19925430413826	194.94232441467207	26.183180151451758	47.96324530218996
151	high	female	68.73056631592117	193.18911548450035	191.76691194129435	18.571048327741888	46.22966745488674
152	none	female	72.86068310103602	177.65216194376254	196.14617148407004	27.770958580284695	31.32103022949835
153	intense	female	64.46166728816675	158.82883826173787	193.70798940163988	30.778224305787198	50.28549119761935
154	moderate	male	74.41257268524126	236.49941149015206	194.65966267840358	44.342031944917586	27.990886529696766
155	moderate	male	71.65473603714102	115.30155511233495	193.79035960167465	26.077291944044585	50.29120918368321
156	high	male	74.91789329230376	179.7292192597793	191.28325090103283	34.099112856538895	51.0592858716822
157	moderate	male	71.22526523790908	156.13227803234787	198.29917247154197	43.37164296783696	46.69570476065103
158	low	male	69.25118487933842	160.74188501914634	198.52129930776692	36.49229126118831	36.84439439727719
159	high	male	71.3913471818969	140.68998911961077	187.9295109644629	41.26165751834286	49.47248336435175
160	none	male	78.26685425740175	192.28334292312414	193.568567089897	35.897501116397606	34.65295263860121
161	low	male	65.2642344729214	190.59345852402961	191.70197341924202	34.82478950268548	41.02776058049744
162	moderate	male	65.34867922055504	151.23064141655163	192.63566778595077	23.67429226442544	32.156871121502554
163	moderate	male	69.09325651052879	129.73459149000828	188.4069356315917	35.730669113022564	43.35698755382418
164	moderate	male	69.40744324923203	160.0265372944821	193.10847387481812	37.05304542020024	37.735550642627445
165	none	female	59.9388969801843	198.05303935165196	194.6022840880562	29.546373884060223	29.67701909378215
166	low	female	72.35918774261563	191.29305248558322	192.93104191546826	29.14058559850841	30.511185165331753
167	none	male	64.88242963888047	210.9650273011115	195.54586944960042	31.472785988772507	44.11093483427314
168	none	male	64.80884800841416	113.9633037130884	199.60429711619713	37.2082919044446	32.28627786723756
169	none	female	73.58528737274993	98.20558751522786	186.42800262087854	28.292730388591483	28.975791533165214
170	moderate	female	73.94144924039651	175.27372628111073	188.87920540077636	34.55023446941802	32.87397145548972
171	high	male	69.76039141130671	154.08791978298424	194.70572196608666	32.25207616897854	51.356414540624925
172	moderate	male	64.09361450806578	185.2193063608884	194.59901788684525	21.393953713791277	42.67863949671059
173	high	male	61.78870953926347	151.4117918065079	184.20735966706624	30.017834229144995	54.27180567331319
174	moderate	female	67.80908090803506	109.68313520081217	190.37745171304405	31.87577879733644	35.99601394227999
175	high	male	64.62698576225084	141.63594386152482	190.7265159980506	18.48139467670051	53.497036140155586
176	moderate	male	64.70555544296874	179.7138141028217	192.31947649117572	32.3208094120249	29.664470692936362
177	none	male	67.18758980773548	182.15288161993104	188.34026371959223	34.509662658689294	34.89173613806592
178	low	male	64.20252847826923	167.280285311257	194.13721341422627	22.500533680523212	38.850071366443146
179	none	female	67.6649034813353	168.66738769806489	198.31589812390828	35.35399496843064	35.07677494294908
180	moderate	female	66.72038823760477	122.6504391111821	190.75178404164484	35.174522327654905	40.49835418524213
181	high	female	66.51533537843531	174.89697617965876	191.7523469556129	36.133141707063395	34.843860633540366
182	none	male	72.15710075259406	152.54724183673304	184.76221754925658	24.35295961080311	34.81896462453627
183	low	male	63.30636165050989	187.92365732323026	182.14651285056246	34.86210196113378	44.973662872287555
184	moderate	male	71.31795552195807	203.73869452076093	197.68616375831087	24.210158113883868	41.380278577000965
185	intense	male	66.19758207528469	177.72185678189805	189.76735904670028	37.75370164394113	55.47559339269221
186	none	female	75.77287048377508	155.3468151974286	194.93139442177065	31.851928249539263	20.601358574173045
187	high	male	60.326135467247724	178.15722139270937	184.39880700816622	38.823216754643596	48.827216413019805
188	moderate	male	76.16011489924189	156.8511016059412	196.03694104383507	44.207011947166976	53.78932973937898
189	moderate	male	61.982824971144666	103.99535457491017	188.21223220781485	39.03813611032923	42.93261907742747
190	intense	male	72.81660133444372	172.21868736275084	191.52407375057473	31.96526765871766	54.66973054099567
191	intense	male	74.96394732151926	142.93458032961306	191.03213579149954	32.331900632908734	65.04644324784185
192	low	male	69.00378510635171	170.69737402877615	190.19113548365476	36.66160911827538	31.893014481892855
193	high	female	63.99520750108188	165.5964895133656	198.770133070707	26.608436985645312	44.37892276084121
194	high	male	56.89277493838649	117.20540232972805	186.63539565468477	28.644307293128776	53.21664877724485
195	none	male	61.62778040362499	168.29065481634746	195.73941736538458	31.98775397808411	35.37650610559822
196	high	male	72.53957904100191	113.29445412186092	191.66268442648544	26.385457950936505	59.619868210525276
197	low	male	68.41496780682004	148.96441672208837	201.12582486557199	30.886056029317544	37.822902679514286
198	moderate	male	59.787828887698275	171.55190373937978	188.99601289747253	34.19879410323893	49.95761116509486
199	none	male	63.03094992324712	184.40347283280596	193.30439811475017	33.083545016970405	38.96438572559521
200	moderate	female	70.55079638745784	160.5969630951331	192.24269144318117	25.50939042837851	34.04450200597936
201	none	male	72.9723828624109	179.56241429721706	184.12696492541087	37.06342261767044	26.606076201051373
202	none	female	60.73075835092803	217.18125803516875	196.41421122278874	24.66960936963612	21.146624542030388
203	none	male	71.8983992240238	128.33090079020883	200.89372543116704	44.826129321836405	34.47767705637989
204	moderate	male	63.182509992671655	158.8895147847333	189.38919224639372	41.68170065857792	44.59430743803729
205	none	male	65.55130984546092	147.69448059500306	181.76833772400852	39.55026697365698	28.282378896664127
206	intense	female	63.9865194878197	185.9564273733494	196.05423111737747	33.34047963606547	42.84184547278387
207	intense	male	70.09326564270785	147.31416502956392	191.90435171686954	24.317348055636558	69.89162810901803
208	high	male	69.33981990702426	223.5994215510368	187.76811499947152	35.52360225835852	42.431802005293875
209	moderate	male	74.39673888703945	169.7092329098508	191.76823282623576	29.896506448832664	44.257209848371005
210	low	male	73.05207991179103	189.8955909006723	184.3698022578676	42.60662084150162	30.92134613603985
211	high	female	67.49746778388092	127.66520894646374	187.5260827038452	23.4119061869614	43.83529620784341
212	moderate	male	66.76844405396312	126.2276235324941	192.33036339172313	30.321965641167427	41.84717226694153
213	moderate	female	64.88019576797385	124.5980179370425	192.16857221266014	38.530194932931195	39.925770168665906
214	high	male	65.49814562240702	138.8039246574749	189.2434426666138	28.791565539121116	52.65028602388272
215	moderate	male	69.78290447530573	176.03608330019574	200.61525737225242	33.24771253896226	41.19236630995927
216	none	female	68.81627398725965	157.9401051857011	189.76950451281664	27.715715666390352	26.943718907939324
217	low	male	61.774807148406154	188.3573033253458	199.02041526048157	34.07555312817175	36.35695022486691
218	moderate	male	80.25309892357456	208.50706117690123	193.34562577699114	38.65255008432383	35.408074287914516
219	moderate	male	67.47170047278773	191.19397318759837	191.86524023588441	25.830371970567956	42.18357187225698
220	high	female	63.68846198359746	165.73180901753747	191.04964816887386	45.46046733428208	49.9990594363416
221	none	female	69.46640131804162	181.83073617215604	195.68238312592703	49.380430365796144	22.17263766008289
222	high	male	77.22375290134752	172.38216972057282	195.3986031941634	44.5874372183232	61.151807633413306
223	high	male	66.37494703031764	150.21909368048097	185.74033757257325	31.96608791819672	50.071786852700384
224	low	female	70.70593207661514	162.92873108792293	189.36253355093436	34.5875881905277	37.20849211252998
225	none	male	66.73704361591766	97.52003922683272	194.6193436209684	35.31976593225105	37.42968095336467
226	low	male	74.34078784854847	159.23586714101583	188.26809710450277	27.88721995018259	41.62663034119545
227	high	male	68.10516896593096	122.64245319427206	196.11024271944783	31.605544966566416	55.66312989243132
228	low	female	65.16729595690634	111.25838041911848	185.28174206277717	37.60229445621797	24.39922295924277
229	low	male	73.90554382263205	135.06340162286784	195.99269233614154	33.082933633143114	41.399388200111105
230	moderate	male	74.69144324054417	187.822001039247	184.54434565269938	32.23039834387635	40.541853576473024
231	none	male	57.620822549078845	183.9608534367208	193.02532228327934	23.951142110401566	35.5698856636883
232	high	male	65.32746967940635	138.75378530858066	191.2773130390374	33.18301938463614	56.47818171329702
233	low	female	64.92075731933474	129.16673426987313	192.2815109706209	25.08744067893481	41.97045351482816
234	high	female	67.15111228565077	184.38803747151587	190.54642078087713	37.12114539793609	44.96667336062602
235	low	male	68.83600379638317	128.32028183060535	191.3711643301977	36.51390168737864	37.46323607399124
236	none	male	64.24143095814573	179.21169133879826	197.2777962633483	34.34431315780087	28.864031430854673
237	none	male	69.5871656585096	191.312342039023	192.27745986955915	38.122846795589105	35.81437554430345
238	none	male	67.64056264549144	187.61663608402483	189.64646957993747	34.613223727694674	36.50166458317055
239	none	female	64.318794045273	138.20576520742298	198.47567287046934	37.67264695471371	39.174546401005415
240	low	male	61.833464690407475	142.94158295544545	187.44841783728418	36.153970420546955	36.919686231768765
241	low	male	70.30145260401288	116.01848343281162	199.45916042117102	23.33460564160861	48.93964268015
242	moderate	male	66.30944420553386	214.6876853531793	193.47654558836487	33.06563201262831	38.41525974058366
243	moderate	male	60.56589160209345	119.75851788900863	195.5942928526177	26.645140206047895	40.50659470349655
244	moderate	female	62.12876803804317	198.19335599613564	198.3384323447083	22.3263480673903	33.30748248617494
245	moderate	male	58.58289245972542	208.74418380229093	193.25696434854743	29.909503431429993	30.100380393840755
246	low	male	64.54576009260737	134.5340332266256	191.78347065507336	28.312923195840703	46.16854046750675
247	low	male	62.07497020748447	144.34776644814886	190.29826043361876	42.42578617118038	44.45643085706534
248	low	male	61.78364040523559	230.53421733600294	187.36200492029394	40.063456898504164	28.816002923034013
249	moderate	male	70.00389389923072	181.44966780520733	189.91566093057068	33.794273678569056	30.99372264491697
250	low	male	75.01282106885733	146.80150941877045	185.70706502697058	36.928860435532506	41.15043834976888
251	moderate	male	65.85182200251167	223.04869747347308	184.94244767819552	30.96947775042973	34.94898783764651
252	moderate	female	70.66665091324657	217.07787781536078	192.28490093458188	34.79408402635162	38.00495035882149
253	none	male	76.2059189401553	167.56549548311793	198.16498356728212	35.64794419688647	35.83011789876836
254	moderate	male	72.02152079946964	160.09044082631294	190.89171925007088	25.511337957349575	41.46630688255763
255	high	male	69.64483526639214	155.0396120415348	192.8393690019698	25.637926618216213	55.73208605021574
256	high	male	62.890607489527476	137.67067060509913	187.35366712932944	29.055228334928117	50.5994776844944
257	low	male	66.91321380548236	97.69586772343517	193.31978296357846	29.40627545652524	41.03203872620108
258	moderate	female	60.98167391748873	173.36029100882445	198.06560543249543	42.911263799096936	39.361875488009275
259	none	male	77.68984697183048	157.42687788725203	198.03078214018865	34.304736660563904	45.6473761327708
260	low	female	65.41701005509573	143.23424953502945	196.28686955152273	26.030956848108637	37.275447440661715
261	high	female	74.2011730297691	170.58753540254443	184.98271761054494	36.38729015053808	42.269212686250725
262	none	female	63.72497477523163	108.64305622876029	185.48811209900683	28.644036741699956	23.541011626206842
263	none	male	66.19553903083714	177.70599762275543	187.4883972844774	31.302490113878374	44.39735660097098
264	high	male	76.27937950777235	147.7299407462317	191.0915700000697	38.50409489115329	55.12077083463554
265	moderate	male	68.35460069758746	163.06217188374578	182.35372554443268	24.47482341317155	44.49187052174965
266	moderate	female	65.99236519364436	170.66376278298603	189.58769359795227	27.27115749482978	20.19466260184229
267	moderate	female	64.46984512081796	179.635470494297	193.49401523499947	43.22845023677358	22.175091494901356
268	low	female	57.4685322506316	165.48330328365054	186.74590837476433	32.646801989616925	24.526578116458353
269	moderate	male	69.60479179923196	169.91071598558716	190.3321594955414	22.77198052774187	39.115284037384804
270	moderate	female	69.29088752301558	139.19293639345562	191.9575809110331	33.43743766176992	40.30474541969161
271	low	male	67.05088291049599	118.43149605386634	192.86311405368838	41.548548657301666	46.70706159583983
272	none	female	65.38177012112536	197.0793900509752	185.0936009436003	23.870429565195053	31.47314910228297
273	moderate	male	63.79907183189138	123.48557130330053	189.4022433461805	28.3959155189787	50.030340071133644
274	low	male	67.17536153244436	141.91657845897137	189.39867101421012	30.845617350939868	38.90038797412175
275	high	female	74.32713284811406	186.01234810343772	194.00451934100462	35.795482896934864	47.802976021770014
276	moderate	female	68.79417212193269	149.82253247600298	191.81816879429886	35.88609953296111	40.17897643786191
277	low	male	63.70404957793703	223.0219558453481	190.0306849413646	36.00852574914326	34.94866278370063
278	high	female	63.0269144405789	233.81525484383832	195.89329489351738	31.495690800979528	40.46091647032961
279	intense	female	69.26505039066164	154.29904387612368	194.93496393974874	34.927564155430744	39.76677377706693
280	low	male	67.57211865830178	171.07658880003913	191.8216429050187	29.715958887849162	34.18452903395791
281	none	male	66.87783623121933	151.62080836092315	191.37447287886368	28.273889519010712	29.50210611578111
282	moderate	female	67.38753031201604	174.78510418855777	187.48690885856618	33.02649865960288	26.415605745599617
283	none	male	68.14634172610096	80.086963127934	198.7825936403394	26.29706363719746	41.271837925610434
284	low	male	73.56333908956825	187.43515533847804	192.07739269337674	37.08473749561585	32.18305318262804
285	high	female	62.658571815488	138.78535497815665	192.78735323644787	27.335964617836733	44.56693473462909
286	moderate	male	65.24470687362081	184.48187967522256	195.88409186521218	34.75863779651199	44.49624737334658
287	moderate	male	72.25765482305555	151.12753915341636	197.58425505584484	34.66778149899939	39.90500923810975
288	high	male	70.06824115439636	166.26858270082965	189.20084663468202	41.71148340964522	49.50029831737667
289	low	male	56.30128595239266	204.92919349540685	185.34365620719961	23.62351124286795	45.413392143275004
290	high	male	71.5781559946901	120.80245661748695	192.29097121877237	44.85910093265541	54.58840738107958
291	low	male	70.3976933338814	170.82592070982682	194.58246530821347	29.26815770926561	47.59189987750001
292	low	male	74.51728238324745	136.80278140935113	197.01934519085918	34.38434283586118	52.10392952416325
293	moderate	male	72.57007170057983	127.90790821491754	203.2331591089623	38.80723898144986	53.2504360555064
294	low	male	57.753030633346995	137.72500507393346	194.6245332275825	37.35716157049095	33.551550322329696
295	low	male	66.97307094212613	234.39530997202866	191.8619391543246	20.80466573164994	29.14427815309925
296	moderate	female	66.99156980037934	168.38031068207934	184.78190138779536	38.717596121021245	30.73901777529144
297	low	male	69.27689505622364	198.00800074602378	198.81545828182922	35.1769126795827	48.12965270484291
298	intense	male	64.10257915038419	153.1710779319773	197.48614279478255	22.76648356797181	51.90755065125126
299	high	male	73.15304941475894	119.90246875390125	197.05668029323414	31.456546967438776	44.536377461138954
