row	weekday	weather	time	temperature	pedestrian_level	police_presence	consumer_satisfaction	accidents_per_10K_1
81	Sa	sunny	midday	59.75340898253947	4	1	53.56817027548829	8.507820489481267
82	Tu	rainy	midday	63.342634121280234	4	3	72.56776394444131	13.870505025715664
83	W	sunny	midday	62.974445642853915	3	1	42.96800993723221	10.308988522222174
84	Tu	sunny	overnight	94.73138634543227	4	2	41.52390144415183	15.795209262971504
85	M	snowy	midday	10.968922261445103	4	2	53.95403616450566	18.9997879736215
86	Tu	sunny	overnight	81.20514231563297	10	4	14.454786723293267	29.67465733097653
87	Fr	snowy	morning rush	10.691535873338314	2	1	18.40349888675423	14.1630323291407
88	Th	sunny	overnight	50.33727110415252	5	2	59.264949948964826	11.070009041384907
89	Fr	snowy	midday	15.86476784026459	4	4	48.62016970235928	17.41373425435697
90	W	snowy	midday	10.034236634641555	7	4	40.23831602861099	21.595752322671945
91	W	rainy	morning rush	80.22491781675829	5	3	50.53915571772605	21.182104273407376
92	W	sunny	overnight	78.33853877619457	3	2	19.130201403045024	14.476078091798138
93	W	snowy	overnight	14.709175829199221	6	1	61.638202590587916	24.87353495934481
94	Su	sunny	overnight	55.67662148843727	6	3	55.09828949706836	18.311148205735662
95	Tu	sunny	midday	64.9101295745902	5	1	55.26477194139017	12.751420072330719
96	Tu	sunny	evening rush	68.13270208077486	3	1	69.97652298511723	11.597364399542785
97	W	sunny	midday	78.58656365920353	2	3	37.18657926015796	5.733933494623874
98	Fr	rainy	overnight	68.29340866450039	6	1	62.200853854367544	27.028240283351316
99	W	sunny	evening rush	73.62947151759492	3	1	62.03106678466403	10.263981940607277
100	Fr	snowy	overnight	11.296200552331813	8	2	60.72285441499064	33.14293000183374
101	Fr	rainy	morning rush	88.52684738242871	6	1	47.804320730250524	21.31145963891879
102	Su	sunny	midday	75.73681151720533	5	3	26.07974273433602	12.361955770218746
103	Su	snowy	morning rush	9.681554790465253	5	2	49.68698807839275	17.31898998173813
104	Sa	sunny	overnight	75.78191183704543	3	4	67.64015646963391	13.10984215027031
105	Su	sunny	midday	77.36439275793995	8	1	72.36153462224426	22.991878300968857
106	Th	rainy	midday	70.4204639709384	3	1	59.80743337168764	10.845433268681191
107	Th	rainy	morning rush	63.03099743776467	4	2	44.520744447585976	14.955565227791233
108	Sa	rainy	morning rush	72.77627645098941	11	2	57.69378771714949	34.977544504568286
109	Tu	snowy	midday	-1.2633694690391337	5	1	38.59607056096796	20.374638002110025
110	Sa	sunny	evening rush	65.04619743789972	6	3	56.085508075354966	19.06498316666602
111	Th	sunny	morning rush	60.4180575749314	8	2	58.89542022684056	22.219218211674452
112	Su	sunny	overnight	84.16983103769792	6	2	43.34110042194286	22.066752598245976
113	Fr	sunny	evening rush	73.0894455865712	5	1	49.50936691143645	20.604622865053518
114	Sa	rainy	midday	53.830503114785564	2	1	47.024567463933806	9.238695453172737
115	Tu	snowy	evening rush	2.6408860429060033	6	2	50.509567671773894	23.27682131775975
116	M	snowy	midday	11.282548500997446	4	1	77.10455732581978	16.503926901393065
117	M	snowy	overnight	8.298451830880902	5	3	83.49958925257091	25.981877154293727
118	Th	snowy	morning rush	5.821236811800598	3	1	61.33499447000543	16.161990016012272
119	M	sunny	midday	80.33232201821951	2	2	37.45903146694268	9.494306198782338
120	Tu	rainy	overnight	100.0099446448402	4	1	39.65835055213948	17.31195291504702
121	Th	rainy	evening rush	100.54090937154884	5	1	68.63840222633718	19.202182290291276
122	W	rainy	midday	76.21385354374777	6	3	61.9186052969015	24.519777008887992
123	M	sunny	midday	75.17456484698465	3	3	51.816370761124546	11.840566875768724
124	Th	snowy	overnight	16.608590063398488	5	1	39.71425116537281	21.288265731399562
125	Fr	sunny	overnight	66.08420081988511	6	1	51.46491969027166	20.997152018088475
126	Th	sunny	midday	69.92610201729961	1	2	35.761107179480845	0
127	Tu	snowy	midday	9.179505536823799	4	2	37.91980239745063	14.825755879117729
128	Sa	sunny	evening rush	57.31526547977315	2	4	37.52947521807076	6.548869050267335
129	Fr	rainy	midday	85.4180306517738	7	2	55.687694076420144	19.687664851368833
130	Sa	snowy	evening rush	10.827663719276442	3	1	54.49140049675138	11.532725627470256
131	W	sunny	midday	81.36539444367175	5	2	54.876512031958626	16.573620128339375
132	Fr	snowy	overnight	8.512354370478143	1	3	27.319474642087584	8.5527574874755
133	Th	sunny	morning rush	69.02091216522862	10	1	37.16295489553567	31.090378876242962
134	M	sunny	morning rush	68.86370701672278	5	1	49.99068250045515	18.470886508426617
135	Tu	sunny	midday	68.65243315889325	7	4	49.309515436346494	21.344998235070324
136	Su	sunny	morning rush	70.98470893273642	6	4	74.1353885879779	19.784069077908246
137	M	sunny	evening rush	77.80805072472656	5	4	54.846017381546645	18.491973842369855
138	Tu	rainy	evening rush	78.65195184549566	3	2	41.82710906175855	8.74950643381814
139	Su	snowy	evening rush	4.631148409772474	4	1	51.63153808611388	11.188135774748968
140	Fr	sunny	evening rush	68.00279872917439	5	3	69.05615502141352	21.749676649083803
141	W	sunny	evening rush	71.78361905791624	2	1	70.60805099480386	7.463353288307561
142	Su	sunny	morning rush	57.573994751716	4	4	8.38532479315657	12.239329644494406
143	Th	sunny	midday	79.65122439685115	5	4	78.19310237521033	10.096150535435763
144	M	rainy	morning rush	81.32435851150984	4	1	56.58306822770678	19.997899653759955
145	Fr	snowy	evening rush	4.915811043190901	5	3	31.35182636736043	21.041752409707414
146	Fr	rainy	midday	85.27780049438451	5	3	50.96778033991907	18.449785005189185
147	Sa	sunny	midday	88.40234426728824	5	2	57.54277758614359	11.17128297166755
148	Tu	snowy	overnight	14.959764120797864	4	2	58.96785487352662	16.57606433266389
149	Sa	snowy	morning rush	3.879220612369245	4	3	76.91785704129127	17.565417155115338
150	Tu	sunny	overnight	81.86711327336825	3	1	56.6029365356904	14.005524491810412
151	Th	snowy	evening rush	10.201920278688409	3	2	56.53976424679899	12.861929928256851
152	Sa	rainy	morning rush	62.697668655137804	6	2	88.57533372285431	20.658519839716185
153	Th	sunny	overnight	81.49605027150594	8	2	92.82151264002275	24.547734293690233
154	Th	sunny	midday	74.51072827268496	7	3	49.68315977382149	19.69876794461056
155	M	sunny	evening rush	69.06721767830993	4	1	58.246067784081994	18.716379152203178
156	Su	snowy	midday	12.978987098841063	9	1	66.8682108622124	31.9129753272183
157	Sa	sunny	evening rush	68.74244784396167	2	2	37.2368455186884	6.548356604664753
158	Su	sunny	morning rush	84.2916141187986	8	3	48.80662172528319	23.02167262421802
159	M	sunny	overnight	50.5213315221703	9	2	55.89395929692409	32.04061266663329
160	W	sunny	evening rush	77.24928856042395	9	1	46.15505440672008	26.11255846215262
161	W	snowy	morning rush	6.313170065312675	4	1	49.34891992573327	17.473903749260973
162	Th	snowy	overnight	11.62093201533246	5	1	42.87384464656441	18.14595361868488
163	Tu	snowy	overnight	12.074586590257056	5	3	61.66632579335932	18.797665520738153
164	Sa	snowy	overnight	17.019404381487195	9	1	61.96864245857102	30.60270649089789
165	Su	rainy	morning rush	67.83371384939548	8	4	80.82940118547701	24.664982112712273
166	Th	rainy	overnight	75.9308565775719	5	4	55.616951258119755	18.965590303809044
167	M	snowy	midday	4.162894620649969	6	2	41.02358746236252	25.480366260465424
168	Tu	sunny	evening rush	76.05527465171598	6	1	38.89771843002379	21.64096980203086
169	Sa	sunny	midday	73.54622403245261	4	3	68.15243165046266	9.819022737851858
170	Th	sunny	overnight	86.28253352739807	1	3	45.79602160986268	3.8274863431935224
171	W	rainy	midday	57.325174698750736	7	1	59.37625479376554	25.16888907190016
172	Sa	snowy	midday	17.64262394481491	2	3	71.86439369864776	8.227990198816931
173	Th	sunny	morning rush	73.73091497185622	4	2	49.28197338816643	11.61448919397086
174	Sa	rainy	evening rush	83.99571013150566	0	3	45.89065839233394	5.524367461620119
175	Sa	sunny	overnight	61.445923133924396	7	4	63.97089430108389	24.48974664703915
176	Th	snowy	evening rush	5.7607675585585385	6	3	69.21721032990762	24.133367163881825
177	Th	sunny	evening rush	74.28365724572564	5	2	40.232745068922036	15.687592951268437
178	M	sunny	morning rush	57.17953693523032	7	1	37.55003841631452	24.11103453998472
179	Sa	sunny	midday	65.32399061427016	3	1	75.18507447206723	6.935413159003573
180	W	sunny	evening rush	92.30501575053117	1	1	53.5556215215399	6.325201192249387
181	Sa	snowy	morning rush	7.655946492806611	3	2	62.90288161487185	12.128634534964723
182	Fr	sunny	evening rush	73.05655903389857	5	2	40.9845564973016	18.379942629776355
183	Tu	rainy	midday	72.27126329155249	5	1	54.61723394554647	19.825824946958527
184	W	rainy	evening rush	65.93940771622874	6	1	45.61804393035092	22.454690336886333
185	Th	sunny	midday	69.71579954720796	5	2	51.08562747318613	15.013430650712557
186	Su	sunny	evening rush	69.5629116314096	9	1	69.03254105418628	28.621808549414755
187	M	rainy	morning rush	74.68257518759859	3	4	51.862670729957706	14.213608467415776
188	Su	sunny	overnight	58.21894401521191	11	1	49.525816503264195	36.863208052378546
189	Fr	sunny	morning rush	73.0471211863588	3	2	52.09696807341434	13.790565423733176
190	Sa	sunny	morning rush	70.5745320427698	6	2	44.16566835598819	20.70071745264214
191	Fr	sunny	overnight	62.85487964587831	6	3	51.762509462854254	25.318887380989555
192	W	rainy	morning rush	51.89546407091759	7	4	17.52847377339701	21.952207246063793
193	Su	sunny	overnight	55.45907628527959	8	3	70.69231183699131	27.16690207337309
194	M	sunny	morning rush	64.96013118037067	7	2	46.27900539619837	22.048531909157965
195	Sa	sunny	morning rush	72.02231776482502	5	4	70.0830031398774	14.262135821789347
196	Tu	rainy	evening rush	73.98082860314781	4	3	60.23846788823355	19.09965318546744
197	Sa	sunny	overnight	44.1878330471514	4	2	31.196233909299	16.099036455015042
198	W	snowy	overnight	16.746757826544037	2	2	52.18979457177677	12.950148418366737
199	Su	sunny	overnight	76.0562843356591	6	3	43.626970801009406	17.977058958026674
200	W	rainy	overnight	63.732415065689345	11	1	50.220779910048265	37.26995854383259
201	W	sunny	morning rush	84.42956001790284	5	3	38.87100735841727	18.320284314771346
202	M	sunny	overnight	59.29299857484712	7	1	61.89003383335118	30.508622865595086
203	Sa	sunny	overnight	71.80052585322247	5	1	58.957612892878544	16.430143585575507
204	Th	rainy	overnight	72.16553286374068	3	1	68.12625258858195	11.074003416890516
205	Fr	snowy	morning rush	8.45561797360909	8	2	49.4918307442361	33.91429658830482
206	Su	snowy	evening rush	16.038921443003893	7	2	61.12306658094015	23.28493205178197
207	Su	rainy	evening rush	57.500791840876126	3	4	45.00911130120373	12.692206208446247
208	Su	sunny	overnight	76.9364799960958	7	2	22.83973198615793	25.790047721113673
209	Tu	rainy	overnight	57.295694905579545	4	3	54.620669188326445	14.044389346106598
210	Th	sunny	midday	66.28295013616767	1	2	37.654469532837254	0.5292442628721519
211	M	sunny	midday	62.74985381629919	5	3	54.7679710165386	15.852427123975758
212	Fr	sunny	midday	75.80421036804434	2	1	48.14871758527614	11.789971337771382
213	Tu	sunny	midday	72.66792539579568	3	4	41.80878899344091	6.120786765322222
214	M	sunny	midday	78.23628728325455	7	1	60.69891144999019	21.94283362871447
215	Tu	snowy	overnight	4.235311996217181	3	2	73.68605217063413	14.332311194125715
216	Sa	sunny	overnight	78.18522882986088	6	4	72.56936433315227	19.66117786829686
217	Th	sunny	midday	84.0674253910454	6	2	56.69514773207872	23.353996080556897
218	M	snowy	evening rush	9.186800508492318	1	1	43.26304878675051	11.761838990767579
219	Th	sunny	evening rush	76.51395569703055	4	4	66.67591424626438	14.57961504330521
220	M	sunny	evening rush	82.223612094931	7	3	40.70979154591423	24.001965028885518
221	W	snowy	morning rush	6.590465935179882	6	2	56.34659287197574	21.02227153170604
222	Sa	snowy	evening rush	5.199113855577128	9	1	63.131780169953565	30.46187152433529
223	Sa	snowy	overnight	17.486168878129277	7	3	51.141562636701806	23.91621811080495
224	Tu	sunny	midday	85.42187239021798	2	2	48.79411812057197	4.0152020374178985
225	Sa	sunny	morning rush	62.3307345717064	4	1	44.11172347061226	14.190852493203115
226	Tu	sunny	evening rush	54.627162184397775	5	2	15.393231051126648	19.229488635355214
227	Sa	snowy	morning rush	5.5102698311385225	4	2	54.06879608877468	18.135239380485395
228	Fr	sunny	midday	58.72596438426319	4	4	37.516676833070846	11.025490803688037
229	Tu	snowy	midday	6.356760806925115	6	1	42.319661029672396	22.624686731479127
230	Su	sunny	morning rush	66.20822124450578	3	1	12.073258519592486	11.334067508466502
231	M	sunny	overnight	59.70013794570183	3	3	54.64298319493371	11.312299209080539
232	Th	snowy	midday	15.466911346638577	3	2	42.85843789328122	9.557352247097217
233	Fr	snowy	overnight	19.18409682922298	2	2	45.97142233023105	14.145306768906806
234	Su	snowy	overnight	9.298541858895415	3	1	54.21123968879228	14.483093443532358
235	M	snowy	morning rush	6.915760030121021	4	1	23.455556434300703	17.201555162241714
236	Fr	sunny	overnight	61.49225265057365	3	2	58.99597533322854	15.401231104460164
237	Sa	sunny	overnight	49.81961409702879	7	3	58.857713255034824	22.29806921058373
238	M	snowy	evening rush	11.666885464672212	10	3	48.905703759277095	35.79086613353901
239	Tu	rainy	midday	85.80603553259789	4	1	47.57707372163378	14.11396227873796
240	Sa	sunny	overnight	72.04064326133316	5	1	62.049263588791355	15.415085038312332
241	Sa	rainy	overnight	74.24931984493634	8	1	69.64023204813805	27.588704781197357
242	W	snowy	morning rush	-2.0080214022918508	9	2	53.36349487690073	33.472888067168284
243	Sa	sunny	morning rush	71.80125443324425	6	3	47.25155067300142	19.584793942448766
244	M	sunny	morning rush	70.41044372175864	7	1	51.53013263808529	28.87372911087495
245	Su	sunny	morning rush	67.14149399556057	2	3	71.17072212221392	7.630286627647625
246	Sa	sunny	morning rush	70.6573364272402	3	1	53.82773176000389	11.849626704139597
247	M	sunny	overnight	75.61431065246299	1	3	47.58532113856165	6.768121366696999
248	Tu	sunny	overnight	72.33695893162025	4	1	69.21549220114223	14.57483451335025
249	Sa	sunny	midday	73.8772834123923	3	2	52.356258014121266	10.473514002871601
250	M	sunny	overnight	58.88180825633057	9	3	56.6987404557826	33.46743303658211
251	W	rainy	evening rush	86.92344359360271	10	1	47.127159607048924	34.89839063335933
252	Th	sunny	midday	69.98778151143443	4	3	19.304686543195835	11.37527833084777
253	Su	snowy	midday	3.6687086757988743	1	1	58.52213655957566	3.345013288116188
254	W	sunny	midday	66.80249923339267	5	2	50.65495471574254	15.379610475753951
255	Fr	rainy	evening rush	65.44203565029511	4	3	54.05073017465025	19.25693872994685
256	M	sunny	overnight	89.81576386890573	7	3	58.97133182996708	24.0657623522092
257	W	sunny	morning rush	57.354572799796735	4	4	42.573551921439865	10.901357261744431
258	Sa	rainy	midday	70.3612371276416	7	2	76.20213105165693	21.365748993247134
259	Fr	rainy	morning rush	84.41669221817916	3	1	43.492902614827585	19.232968042274443
260	W	sunny	morning rush	79.4287485933415	4	1	20.253196260484582	15.487802807305094
261	Fr	sunny	overnight	87.97483763062029	6	1	26.987890897714948	21.284218985327445
262	Tu	sunny	morning rush	81.80927935128011	2	1	57.86332721689004	12.063162853317671
263	M	snowy	evening rush	8.812053118338403	7	2	61.42052510069931	32.05508180863189
264	Fr	sunny	overnight	69.48842876966765	5	1	46.342707320992716	19.812378151866017
265	M	rainy	midday	76.37014288964754	3	2	52.92099655602312	11.051194933216115
266	W	snowy	evening rush	7.659266079620075	5	2	64.27178694799197	21.795589755083675
267	Tu	rainy	evening rush	61.544053839955126	2	3	64.30392687456145	7.627318763483282
268	W	sunny	midday	68.98444100871912	7	1	50.88196879801749	20.145970130906246
269	W	sunny	evening rush	75.20100616556765	4	2	60.40673160470575	14.820569143211703
270	Su	sunny	midday	67.71134261736483	5	2	64.90177317158924	13.38775479006511
271	W	snowy	morning rush	5.238757838634406	5	4	55.98718278338152	18.57697067101954
272	Su	rainy	midday	70.90137584664589	4	4	72.66090471291226	12.773097203700425
273	Fr	snowy	evening rush	17.748040606213024	5	4	32.43972542651612	24.019729769705275
274	Tu	sunny	midday	64.7957631909365	3	2	51.03878315793935	11.299813494417423
275	M	rainy	overnight	69.71956751967278	5	1	57.928481497850925	22.22920705863868
276	M	snowy	midday	11.658294810350911	5	2	43.74777374860109	18.03029453994612
277	W	rainy	morning rush	64.2190619777794	10	3	46.93525955724284	31.122319269415396
278	W	sunny	midday	72.86846602843387	0	1	34.44317619161885	1.678226838535956
279	Sa	sunny	evening rush	81.4547565245981	1	1	40.64654516009104	5.95810967474203
280	Fr	snowy	morning rush	12.154193719071236	5	1	35.624332475733155	22.060090991679278
281	Tu	snowy	morning rush	13.28254608134785	5	3	39.56789242376904	20.57590544455966
282	Sa	rainy	evening rush	79.10257045586364	6	1	35.18351395358104	22.1239774551281
283	Th	snowy	midday	5.890874781958186	5	1	48.214027017349274	17.480975360546562
284	M	sunny	midday	77.44850638227986	6	2	37.02965877872556	21.676723358722843
285	Su	rainy	overnight	80.91917681001765	7	3	54.6464126728561	25.651990200886885
286	Su	rainy	morning rush	81.07806234367678	2	1	48.55131161224973	5.6214100907516045
287	Sa	snowy	midday	5.891668496215349	3	2	31.293859343830412	15.177714227510378
288	Tu	snowy	morning rush	11.163242297011886	5	4	47.2701071047478	22.847271399084637
289	W	snowy	morning rush	10.621432240565895	9	1	64.98041032131194	35.51468847201747
290	Sa	rainy	overnight	67.76357803496224	6	1	56.432355480529736	26.359408432780484
291	W	sunny	midday	64.3480912161367	6	3	54.862938917989894	17.0161138200224
292	M	snowy	evening rush	18.750185365671022	3	4	62.99196965172244	19.117843557914064
293	M	snowy	evening rush	-1.2117784794122386	3	1	29.43899373175155	17.390534736864296
294	Fr	snowy	midday	11.599776472631477	2	1	57.033726813416195	14.558146805293982
295	Fr	sunny	midday	69.22891263456938	5	2	59.223850124477664	15.922417864549985
296	Tu	sunny	evening rush	73.66537692353255	3	3	55.29290271097187	9.070207160412735
297	Tu	rainy	overnight	75.36136706024281	5	2	73.63432316267347	18.21676055131518
298	Su	snowy	morning rush	12.44059923399356	3	1	55.9940695193749	17.34882292768162
299	Th	sunny	morning rush	77.97029948679382	8	3	61.19150644250008	28.157022449635477
300	Th	sunny	overnight	62.01216886286058	4	1	48.52258847326216	11.867871553104862
301	Su	rainy	overnight	82.50882031980599	3	2	47.16531742945275	10.590648726075791
302	M	rainy	overnight	73.6254097461644	5	2	58.540301084680664	22.208362659911977
303	Sa	sunny	overnight	67.76245330824243	7	3	59.19227664375417	22.757357092675786
304	Th	sunny	morning rush	69.24927661119605	4	1	63.10957494681345	15.24965746795625
305	Tu	sunny	evening rush	75.1698124076284	2	1	41.57125926868722	6.112104578326203
306	Su	rainy	morning rush	71.60488352701009	6	1	68.76815738175401	19.51963577085418
307	Tu	rainy	evening rush	62.601460648898204	6	1	50.39007020717793	23.672381931243148
308	Su	sunny	midday	68.4942851201394	2	1	56.723852181953816	1.8478442343022001
309	W	rainy	morning rush	63.40222581080484	6	1	67.30148571593786	21.38685460526147
310	M	sunny	overnight	73.31943126461458	5	2	59.46698012116731	18.541153849126232
311	Th	sunny	morning rush	82.70031205181691	7	1	56.78343201515044	20.66939953951446
312	Fr	snowy	midday	3.6592679548866727	7	3	46.50734098679393	22.478827033785773
313	Sa	snowy	morning rush	13.951647780315074	9	1	38.892490108153766	28.408671488335717
314	Fr	snowy	midday	7.018860952745701	9	1	29.733706643544075	33.51502354459082
315	Tu	sunny	evening rush	62.49086974815619	3	3	38.29120367097015	9.095446878078178
316	Tu	sunny	midday	77.08868140153511	4	2	76.38218805147135	15.42339823339759
317	Su	rainy	midday	72.80930027427056	3	1	64.43765501897455	10.825028244704132
318	Su	sunny	midday	85.46004739304723	5	3	61.97335932074225	14.857277337030263
319	Su	sunny	midday	68.26429718934948	3	1	62.25639116772352	9.111512186569009
320	Fr	sunny	evening rush	76.67512790128322	2	1	24.91483605576717	13.166041232738557
321	M	sunny	evening rush	66.28802358678273	4	1	38.74913497485625	14.754452355897122
322	Su	sunny	midday	92.5113183845069	10	3	42.00731295502127	29.653363931329903
323	M	snowy	midday	14.080266541174844	5	4	38.23402602003242	21.89879810210328
324	Sa	snowy	evening rush	8.17149143552975	5	2	51.31745121824511	17.93778506429847
325	Th	sunny	overnight	83.26852061237673	2	3	48.062239557879266	8.294755031662573
326	M	snowy	overnight	17.753066449877366	4	2	89.8253635376351	20.810876871105638
327	M	sunny	overnight	63.58944605230616	4	1	45.05550647200036	19.972730417725202
328	Th	snowy	overnight	13.470169172640635	3	1	65.76783802482927	11.548504408833853
329	Fr	rainy	midday	57.45027243040937	6	3	89.20297931115707	25.725536557457893
330	W	sunny	overnight	64.26183306786429	5	1	51.93389656960677	17.792601758271637
331	Su	sunny	overnight	68.91732877836611	3	1	52.576810003888525	9.302434018422115
332	W	rainy	evening rush	66.61238964951905	5	1	67.8901991655532	20.21639054882834
333	Th	rainy	evening rush	62.53085040837946	4	3	36.35373416438673	17.259673449980067
334	W	sunny	evening rush	74.0233257696116	8	4	50.99748503957569	24.531565311732045
335	Th	rainy	morning rush	74.40742146899613	4	2	23.734793368795895	17.58273266254562
336	Th	sunny	overnight	83.84935238911551	2	2	39.51664257415774	12.576633660637532
